gpu_name,application_name,Input Size,num_of_cores,max_clock_rate,l1_cache_used,threads_number,l1_global_load_hit,l1_global_load_miss,Global Load Transactions,Global Store Transactions,L1 Global Hit Rate,L2 Hit Rate (L1 Reads),Shared Load Transactions,Shared Store Transactions,Duration
Titan,matMul_gpu_sharedmem_uncoalesced,256,2688,876,0,65536,0,0,1048576,32768,0,99.645615,1572864,262144,0.000414247
Titan,matMul_gpu_sharedmem_uncoalesced,512,2688,876,0,262144,0,0,8388608,131072,0,99.41237,12582912,2097152,0.003220924
Titan,matMul_gpu_sharedmem_uncoalesced,768,2688,876,0,589824,0,0,28311552,294912,0,89.418016,42467328,7077888,0.010848
Titan,matMul_gpu_sharedmem_uncoalesced,1024,2688,876,0,1048576,0,0,67108864,524288,0,87.741098,100663296,16777216,0.025705
Titan,matMul_gpu_sharedmem_uncoalesced,1280,2688,876,0,1638400,0,0,131072000,819200,0,87.409201,196608000,32768000,0.050145
Titan,matMul_gpu_sharedmem_uncoalesced,1536,2688,876,0,2359296,0,0,226492416,1179648,0,87.274035,339738624,56623104,0.086526
Titan,matMul_gpu_sharedmem_uncoalesced,1792,2688,876,0,3211264,0,0,359661568,1605632,0,87.353691,539492352,89915392,0.13738
Titan,matMul_gpu_sharedmem_uncoalesced,2048,2688,876,0,4194304,0,0,536870912,2097152,0,87.363448,805306368,134217728,0.205065
Titan,matMul_gpu_sharedmem_uncoalesced,2304,2688,876,0,5308416,0,0,764411904,2654208,0,86.978706,1146617856,191102976,0.291909
Titan,matMul_gpu_sharedmem_uncoalesced,2560,2688,876,0,6553600,0,0,1048576000,3276800,0,87.242275,1572864000,262144000,0.400074
Titan,matMul_gpu_sharedmem_uncoalesced,2816,2688,876,0,7929856,0,0,1395654656,3964928,0,87.238429,2093481984,348913664,0.532454
Titan,matMul_gpu_sharedmem_uncoalesced,3072,2688,876,0,9437184,0,0,1811939328,4718592,0,86.376591,2717908992,452984837,0.69149
Titan,matMul_gpu_sharedmem_uncoalesced,3328,2688,876,0,11075584,0,0,2303721472,5537792,0,87.144678,3455582208,575930368,0.879319
Titan,matMul_gpu_sharedmem_uncoalesced,3584,2688,876,0,12845056,0,0,2877292544,6422528,0,87.029517,4315938816,719323143,1.097321
Titan,matMul_gpu_sharedmem_uncoalesced,3840,2688,876,0,14745600,0,0,3538944000,7372800,0,86.12799,5308416000,884736001,1.35116
Titan,matMul_gpu_sharedmem_uncoalesced,4096,2688,876,0,16777216,0,0,4294967296,8388608,0,86.830537,6442450944,1073741841,1.638177
Titan,matMul_gpu_sharedmem_uncoalesced,4352,2688,876,0,18939904,0,0,5151653888,9469952,0,86.601782,7727480832,1287913478,1.965822
Titan,matMul_gpu_sharedmem_uncoalesced,4608,2688,876,0,21233664,0,0,6115295232,10616832,0,85.508601,9172942848,1528823822,2.335511
Titan,matMul_gpu_sharedmem_uncoalesced,4864,2688,876,0,23658496,0,0,7192182784,11829248,0,86.398628,10788274176,1798045698,2.745735
Titan,matMul_gpu_sharedmem_uncoalesced,5120,2688,876,0,26214400,0,0,8388608000,13107200,0,85.942219,12582912000,2097152014,3.201729
Titan,matMul_gpu_sharedmem_uncoalesced,5376,2688,876,0,28901376,0,0,9710862336,14450688,0,85.181235,14566293504,2427715588,3.710241
Titan,matMul_gpu_sharedmem_uncoalesced,5632,2688,876,0,31719424,0,0,11165237248,15859712,0,85.863327,16747855872,2791309355,4.262087
Titan,matMul_gpu_sharedmem_uncoalesced,5888,2688,876,0,34668544,0,0,12758024192,17334272,0,85.609341,19137036288,3189506093,4.870362
Titan,matMul_gpu_sharedmem_uncoalesced,6144,2688,876,0,37748736,0,0,14495514624,18874368,0,84.083159,21743271936,3623878761,5.533078
Titan,matMul_gpu_sharedmem_uncoalesced,6400,2688,876,0,40960000,0,0,16384000000,20480000,0,85.32283,24576000000,4096000045,6.257523
Titan,matMul_gpu_sharedmem_uncoalesced,6656,2688,876,0,44302336,0,0,18429771776,22151168,0,85.091861,27644657664,4607443016,7.034606
Titan,matMul_gpu_sharedmem_uncoalesced,6912,2688,876,0,47775744,0,0,20639121408,23887872,0,84.707144,30958682112,5159780474,7.884371
Titan,matMul_gpu_sharedmem_uncoalesced,7168,2688,876,0,51380224,0,0,23018340352,25690112,0,84.73155,34527510528,5754585233,8.78524
Titan,matMul_gpu_sharedmem_uncoalesced,7424,2688,876,0,55115776,0,0,25573720064,27557888,0,85.0211,38360580096,6393430124,9.762602
Titan,matMul_gpu_sharedmem_uncoalesced,7680,2688,876,0,58982400,0,0,28311552000,29491200,0,82.861589,42467328000,7077888161,10.821549
Titan,matMul_gpu_sharedmem_uncoalesced,7936,2688,876,0,62980096,0,0,31238127616,31490048,0,84.584058,46857191424,7809532111,11.923796
Titan,matMul_gpu_sharedmem_uncoalesced,8192,2688,876,0,67108864,0,0,34359738368,33554432,0,83.774978,51539607552,8589934978,13.107188
Titan,matMul_gpu_uncoalesced,256,2688,876,0,65536,0,0,8912896,32768,0,99.962571,0,0,0.001727939
Titan,matMul_gpu_uncoalesced,512,2688,876,0,262144,0,0,71303168,131072,0,99.935487,0,0,0.012891
Titan,matMul_gpu_uncoalesced,768,2688,876,0,589824,0,0,240648192,294912,0,99.037963,0,0,0.042723
Titan,matMul_gpu_uncoalesced,1024,2688,876,0,1048576,0,0,570425344,524288,0,98.77537,0,0,0.101195
Titan,matMul_gpu_uncoalesced,1280,2688,876,0,1638400,0,0,1114112000,819200,0,98.499549,0,0,0.197947
Titan,matMul_gpu_uncoalesced,1536,2688,876,0,2359296,0,0,1925185536,1179648,0,97.861798,0,0,0.340814
Titan,matMul_gpu_uncoalesced,1792,2688,876,0,3211264,0,0,3057123328,1605632,0,97.463375,0,0,0.541259
Titan,matMul_gpu_uncoalesced,2048,2688,876,0,4194304,0,0,4563402752,2097152,0,96.769177,0,0,0.808582
Titan,matMul_gpu_uncoalesced,2304,2688,876,0,5308416,0,0,6497501184,2654208,0,96.334389,0,0,1.137064
