gpu_id,l1_cache_used,max_clock_rate,num_of_cores,threads_launched,Instructions.Executed,Instructions.Issued,Executed.IPC,Achieved.Occupancy,Global.Hit.Rate,Shared.Load.Transactions,Shared.Store.Transactions,Global.Load.Transactions,Global.Store.Transactions,Duration
8,0,1076,3072,6553600,6758400,6763470,0.872452,0.860742,50,0,0,3276800,819200,0.000296227
8,0,1076,3072,5308416,5474304,5479845,1.00768,0.865953,50,0,0,2654208,663552,0.000238979
8,0,1076,3072,4194304,4325376,4330477,0.865414,0.863368,50,0,0,2097152,524288,0.000189762
8,0,1076,3072,2359296,2433024,2438556,0.877249,0.861914,50,0,0,1179648,294912,0.000105697
8,0,1076,3072,1638400,1689600,1694703,0.873439,0.862584,50,0,0,819200,204800,0.000076513
8,0,1076,3072,1048576,1081344,1086896,0.877383,0.866619,50,0,0,524288,131072,0.000048385
8,0,1076,3072,62980096,64948224,64953305,0.855401,0.858231,50,0,0,31490048,7872512,0.002849722
8,0,1076,3072,589824,608256,613329,0.955189,0.834468,50,0,0,294912,73728,0.000025696
8,0,1076,3072,16777216,17301504,17306585,0.864596,0.862135,50,0,0,8388608,2097152,0.000751495
8,0,1076,3072,67108864,69206016,69211128,0.860645,0.857036,50,0,0,33554432,8388608,0.003015867
8,0,1076,3072,40960000,42240000,42245470,0.86394,0.779848,50,0,0,20480000,5120000,0.001836082
8,0,1076,3072,262144,270336,275778,1.26029,0.769253,50,0,0,131072,32768,0.000009824
8,0,1076,3072,262144,270336,275892,1.035794,0.795502,50,0,0,131072,32768,0.000008832
8,0,1076,3072,67108864,69206016,69211485,0.895554,0.774342,50,0,0,33554432,8388608,0.003002973
8,0,1076,3072,62980096,64948224,64953665,0.99899,0.772224,50,0,0,31490048,7872512,0.002819739
8,0,1076,3072,58982400,60825600,60831080,0.890024,0.773287,50,0,0,29491200,7372800,0.002642234
8,0,1076,3072,55115776,56838144,56843568,0.861087,0.781239,50,0,0,27557888,6889472,0.002475288
8,0,1076,3072,51380224,52985856,52991306,0.863788,0.77834,50,0,0,25690112,6422528,0.002319542
8,0,1076,3072,47775744,49268736,49274179,1.00288,0.776973,50,0,0,23887872,5971968,0.002145109
8,0,1076,3072,44302336,45686784,45692220,0.864965,0.779395,50,0,0,22151168,5537792,0.001983411
8,0,1076,3072,37748736,38928384,38933828,0.869022,0.770961,50,2,2,18874368,4718592,0.0016756
8,0,1076,3072,34668544,35751936,35757384,0.898666,0.779933,50,0,0,17334272,4333568,0.001553423
8,0,1076,3072,31719424,32710656,32716110,0.869508,0.782983,50,0,0,15859712,3964928,0.00141883
8,0,1076,3072,28901376,29804544,29809982,0.863177,0.77486,50,0,0,14450688,3612672,0.001291245
8,0,1076,3072,26214400,27033600,27039024,0.866714,0.78358,50,0,0,13107200,3276800,0.001177035
8,0,1076,3072,23658496,24397824,24403306,0.867132,0.789619,50,0,0,11829248,2957312,0.001063274
8,0,1076,3072,21233664,21897216,21902688,0.863625,0.773483,50,0,0,10616832,2654208,0.000949642
8,0,1076,3072,18939904,19531776,19537211,0.858213,0.777104,50,0,0,9469952,2367488,0.000857833
8,0,1076,3072,14745600,15206400,15211850,0.86075,0.776913,50,0,0,7372800,1843200,0.000665415
8,0,1076,3072,12845056,13246464,13251902,0.868384,0.782687,50,0,0,6422528,1605632,0.000586566
8,0,1076,3072,11075584,11421696,11427117,1.010373,0.774774,50,0,0,5537792,1384448,0.000494565
8,0,1076,3072,9437184,9732096,9737554,1.017415,0.783167,50,0,0,4718592,1179648,0.000422052
8,0,1076,3072,7929856,8177664,8183142,0.875673,0.782925,50,0,0,3964928,991232,0.000355044
8,0,1076,3072,6553600,6758400,6763827,0.874925,0.783051,50,0,0,3276800,819200,0.000292707
8,0,1076,3072,5308416,5474304,5479753,1.014322,0.784752,50,0,0,2654208,663552,0.000238051
8,0,1076,3072,4194304,4325376,4330834,0.874246,0.798693,50,0,0,2097152,524288,0.000189314
8,0,1076,3072,3211264,3311616,3317054,0.877513,0.779874,50,0,0,1605632,401408,0.000145537
8,0,1076,3072,2359296,2433024,2438488,0.878026,0.796972,50,0,0,1179648,294912,0.000106689
